master_site_id,dive_site_name,country_or_area,country_code,latitude,longitude,max_depth_m,source_count,sources,source_record_count,source_record_ids,source_urls,licenses_and_attribution,data_quality_notes
DS009807,Lagoa Azul,São Tomé & Príncipe,ST,0.4065,6.6102,16,1,OpenDiveMap,1,OpenDiveMap:2d0cfu,https://api.opendivemap.com/v1/sites/2d0cfu,ODbL-1.0; © OpenDiveMap contributors,NA
DS009808,Parede da Lagoa Azul,São Tomé & Príncipe,ST,0.4047,6.6088,20,1,OpenDiveMap,1,OpenDiveMap:vsw22c,https://api.opendivemap.com/v1/sites/vsw22c,ODbL-1.0; © OpenDiveMap contributors,NA
DS009809,Confucius Rock孔子岩,Taiwan,NA,NA,NA,28,1,PADI Global Dive Sites,1,PADI Global Dive Sites:5024,https://www.padi.com/dive-site/taiwan/confucius-rock/,PADI terms; factual compilation for personal research,coordinates unavailable
DS009810,LongDong NO.4,Taiwan,NA,NA,NA,23,1,PADI Global Dive Sites,1,PADI Global Dive Sites:12163,https://www.padi.com/dive-site/taiwan/longdong-no4/,PADI terms; factual compilation for personal research,coordinates unavailable
DS009811,Soft Coral 軟珊瑚區,Taiwan,NA,NA,NA,18,1,PADI Global Dive Sites,1,PADI Global Dive Sites:10756,https://www.padi.com/dive-site/taiwan/soft-coral-2/,PADI terms; factual compilation for personal research,coordinates unavailable
DS009812,龍洞灣4號潛點-和美國小,Taiwan,NA,NA,NA,26,1,PADI Global Dive Sites,1,PADI Global Dive Sites:10245,https://www.padi.com/dive-site/taiwan/4/,PADI terms; factual compilation for personal research,coordinates unavailable
DS009813,Abbas reef,Tanzania,TZ,-6.4404,39.4585,15,1,OpenDiveMap,1,OpenDiveMap:1089t8,https://api.opendivemap.com/v1/sites/1089t8,ODbL-1.0; © OpenDiveMap contributors,NA
DS009814,Ametatu,Tanzania,TZ,NA,NA,18,1,PADI Global Dive Sites,1,PADI Global Dive Sites:6456,https://www.padi.com/dive-site/tanzania/ametatu/,PADI terms; factual compilation for personal research,coordinates unavailable
DS009815,Anemona City,Tanzania,TZ,-6.4485,39.4564,17,1,OpenDiveMap,1,OpenDiveMap:rzl7dy,https://api.opendivemap.com/v1/sites/rzl7dy,ODbL-1.0; © OpenDiveMap contributors,NA
DS009816,Aquarium,Tanzania,TZ,-5.8263,39.3816,30,2,OpenDiveMap | PADI Global Dive Sites,3,OpenDiveMap:eo6dba | PADI Global Dive Sites:19377 | PADI Global Dive Sites:6446,https://api.opendivemap.com/v1/sites/eo6dba | https://www.padi.com/dive-site/tanzania/aquarium-5/ | https://www.padi.com/dive-site/tanzania/aquarium-12/,ODbL-1.0; © OpenDiveMap contributors | PADI terms; factual compilation for personal research,NA
DS009817,Barracuda Point,Tanzania,TZ,-6.2728904,39.5532195,20,1,Dive Vibe Community (cleaned/curated),2,Dive Vibe Community (cleaned/curated):9943059717 | Dive Vibe Community (cleaned/curated):9943059717,https://github.com/jbunderwater/dive-vibe-community/blob/main/data/osm_clean/tanzania.json | https://github.com/jbunderwater/dive-vibe-community/blob/main/data/osm_clean/zanzibar.json,ODbL-1.0 / mixed third-party factual contributions,NA
DS009818,Bawe Island - North,Tanzania,TZ,-6.1437,39.1339,16,1,OpenDiveMap,1,OpenDiveMap:dihvvt,https://api.opendivemap.com/v1/sites/dihvvt,ODbL-1.0; © OpenDiveMap contributors,NA
DS009819,Bawe Reef,Tanzania,TZ,NA,NA,18,1,PADI Global Dive Sites,1,PADI Global Dive Sites:19375,https://www.padi.com/dive-site/tanzania/bawe-reef/,PADI terms; factual compilation for personal research,coordinates unavailable
DS009820,Bawe South,Tanzania,TZ,-6.1538,39.1356,16,1,OpenDiveMap,1,OpenDiveMap:9jt7jm,https://api.opendivemap.com/v1/sites/9jt7jm,ODbL-1.0; © OpenDiveMap contributors,NA
DS009821,Bedford Bank,Tanzania,TZ,-6.5235398,39.4035815,20,1,Dive Vibe Community (cleaned/curated),1,Dive Vibe Community (cleaned/curated):704649411,https://github.com/jbunderwater/dive-vibe-community/blob/main/data/osm_clean/tanzania.json,ODbL-1.0 / mixed third-party factual contributions,NA
DS009822,Big Wall,Tanzania,TZ,-5.8015048,39.4182592,50,3,Dive Vibe Community (cleaned/curated) | PADI Global Dive Sites | Dive Vibe Community (global OSM collection),6,Dive Vibe Community (cleaned/curated):10209140310 | Dive Vibe Community (cleaned/curated):10209140310 | PADI Global Dive Sites:24123 | PADI Global Dive Sites:6447 | Dive Vibe Community (global OSM collection):10209140310 | Dive Vibe Community (global OSM collection):10210198822,https://github.com/jbunderwater/dive-vibe-community/blob/main/data/osm_clean/tanzania.json | https://github.com/jbunderwater/dive-vibe-community/blob/main/data/osm_clean/zanzibar.json | https://www.padi.com/dive-site/tanzania/big-wall/ | https://www.padi.com/dive-site/tanzania/big-wall-2/ | https://github.com/jbunderwater/dive-vibe-community/blob/main/world_collection_osm/tanzania_divesites_osm.csv,ODbL-1.0 / mixed third-party factual contributions | ODbL-1.0; © OpenStreetMap contributors | PADI terms; factual compilation for personal research,NA
DS009823,Boat House,Tanzania,TZ,NA,NA,40,1,PADI Global Dive Sites,1,PADI Global Dive Sites:24073,https://www.padi.com/dive-site/tanzania/boat-house/,PADI terms; factual compilation for personal research,coordinates unavailable
DS009824,Bongoyo Reef,Tanzania,TZ,-6.7027291,39.2755759,18,1,Dive Vibe Community (cleaned/curated),1,Dive Vibe Community (cleaned/curated):705038453,https://github.com/jbunderwater/dive-vibe-community/blob/main/data/osm_clean/tanzania.json,ODbL-1.0 / mixed third-party factual contributions,NA
DS009825,Bwejuu Wall,Tanzania,TZ,-7.9472,39.5055,18,1,OpenDiveMap,1,OpenDiveMap:t493w7,https://api.opendivemap.com/v1/sites/t493w7,ODbL-1.0; © OpenDiveMap contributors,NA
DS009826,Cement wall,Tanzania,TZ,-6.320227,39.5781007,35,1,Dive Vibe Community (cleaned/curated),2,Dive Vibe Community (cleaned/curated):10224583148 | Dive Vibe Community (cleaned/curated):10224583148,https://github.com/jbunderwater/dive-vibe-community/blob/main/data/osm_clean/tanzania.json | https://github.com/jbunderwater/dive-vibe-community/blob/main/data/osm_clean/zanzibar.json,ODbL-1.0 / mixed third-party factual contributions,NA
DS009827,Chekechea,Tanzania,TZ,-7.9718,39.75,16,1,OpenDiveMap,1,OpenDiveMap:w1vwii,https://api.opendivemap.com/v1/sites/w1vwii,ODbL-1.0; © OpenDiveMap contributors,NA
